Case,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Correct Answer
"Eine 78-jährige Frau stellt sich in der Klinikambulanz vor. Sie habe seit 4 Wochen Schmerzen und ein Schweregefühl im linken Arm (VAS 5; visuelle Analogskala 5), insbesondere wenn sie Wäsche in den Schrank einräume und den Arm über das Kopfniveau hebe. Außerdem bestehe zeitweise ein Kribbeln in der linken Hand. Im Liegen seien die Beschwerden deutlich gebessert. Sie vermuten eine Armclaudicatio.",Welche Ätiologie besteht für die hier vorliegende Erkrankung am häufigsten?,0) Arteriosklerose,1) arterielle Embolie,2) Aneurysma,3) Vaskulitis,4) Thrombophilie,0
"Frau N. (28 Jahre, 178 cm, 60 kg, eritreischer Herkunft) ist vor 3 Monaten als Asylsuchende nach Deutschland gekommen. In ihrer Unterkunft ist sie jetzt nach körperlicher Anstrengung in einem stickigen Zimmer kollabiert. Bei Eintreffen des Notarztes ist die Patientin benommen, gibt aber mithilfe eines Dolmetschers klare Antworten auf gezielte Fragen. Die körperliche Untersuchung erbringt den Befund einer Tachyarrhythmie von ca. 130 Schlägen pro Minute und eines Blutdrucks von 80/40 mmHg. Außerdem finden sich feinblasige Rasselgeräusche über beiden Lungenunterfeldern bei einer Tachypnoe von 20 bis 30 flachen Atemzügen pro Minute. Am linken Hemithorax befindet sich eine alte Narbe einer posterolateralen Thorakotomie. Frau N. gibt an, als Jugendliche am Herzen operiert worden zu sein. Der Notarzt transportiert die Frau in die Notaufnahme des nahegelegenen Großklinikums. Auf dem Transport-EKG findet sich kein Hinweis auf eine kardiale Ischämie. Die weitere kardiologische Untersuchung ergibt bei persistierender Tachyarrhythmie eine Mitralklappenstenose mit ausgeprägten Verkalkungen und Rigidität beider Segel. Der linke Vorhof ist massiv vergrößert. Der linke Ventrikel kontrahiert zwar gut, weist aber eine schlechte Füllung auf.",Bei Frau N.s früherer Herzoperation handelt es sich aller Wahrscheinlichkeit nach um,0) einen Aortenklappenersatz,1) einen Ductus-arteriosus-Verschluss,2) eine Mitralklappenkommissurotomie,3) eine Perikardektomie,4) eine pulmonalarterielle Bändelung bei Herzfehler,2
"Frau N. (28 Jahre, 178 cm, 60 kg, eritreischer Herkunft) ist vor 3 Monaten als Asylsuchende nach Deutschland gekommen. In ihrer Unterkunft ist sie jetzt nach körperlicher Anstrengung in einem stickigen Zimmer kollabiert. Bei Eintreffen des Notarztes ist die Patientin benommen, gibt aber mithilfe eines Dolmetschers klare Antworten auf gezielte Fragen. Die körperliche Untersuchung erbringt den Befund einer Tachyarrhythmie von ca. 130 Schlägen pro Minute und eines Blutdrucks von 80/40 mmHg. Außerdem finden sich feinblasige Rasselgeräusche über beiden Lungenunterfeldern bei einer Tachypnoe von 20 bis 30 flachen Atemzügen pro Minute. Am linken Hemithorax befindet sich eine alte Narbe einer posterolateralen Thorakotomie. Frau N. gibt an, als Jugendliche am Herzen operiert worden zu sein. Der Notarzt transportiert die Frau in die Notaufnahme des nahegelegenen Großklinikums. Auf dem Transport-EKG findet sich kein Hinweis auf eine kardiale Ischämie. Die weitere kardiologische Untersuchung ergibt bei persistierender Tachyarrhythmie eine Mitralklappenstenose mit ausgeprägten Verkalkungen und Rigidität beider Segel. Der linke Vorhof ist massiv vergrößert. Der linke Ventrikel kontrahiert zwar gut, weist aber eine schlechte Füllung auf.",Welche der folgenden Rhythmusstörungen liegt der bei Frau N. festgestellten Tachyarrhythmie am ehesten zugrunde?,0) eine Torsade de Pointes,1) eine Wenckebach-Periodik,2) ein Wolff-Parkinson-White-Syndrom,3) ein Sick-Sinus-Syndrom,4) chronisches Vorhofflimmern,4
"Frau N. (28 Jahre, 178 cm, 60 kg, eritreischer Herkunft) ist vor 3 Monaten als Asylsuchende nach Deutschland gekommen. In ihrer Unterkunft ist sie jetzt nach körperlicher Anstrengung in einem stickigen Zimmer kollabiert. Bei Eintreffen des Notarztes ist die Patientin benommen, gibt aber mithilfe eines Dolmetschers klare Antworten auf gezielte Fragen. Die körperliche Untersuchung erbringt den Befund einer Tachyarrhythmie von ca. 130 Schlägen pro Minute und eines Blutdrucks von 80/40 mmHg. Außerdem finden sich feinblasige Rasselgeräusche über beiden Lungenunterfeldern bei einer Tachypnoe von 20 bis 30 flachen Atemzügen pro Minute. Am linken Hemithorax befindet sich eine alte Narbe einer posterolateralen Thorakotomie. Frau N. gibt an, als Jugendliche am Herzen operiert worden zu sein. Der Notarzt transportiert die Frau in die Notaufnahme des nahegelegenen Großklinikums. Auf dem Transport-EKG findet sich kein Hinweis auf eine kardiale Ischämie. Die weitere kardiologische Untersuchung ergibt bei persistierender Tachyarrhythmie eine Mitralklappenstenose mit ausgeprägten Verkalkungen und Rigidität beider Segel. Der linke Vorhof ist massiv vergrößert. Der linke Ventrikel kontrahiert zwar gut, weist aber eine schlechte Füllung auf.",Nach Rekompensierung wird Frau N. zu einem chirurgischen Herzklappenersatz geraten. Bei der Aufklärung werden der Patientin die Vor- und Nachteile mechanischer sowie biologischer Herzklappenprothesen erläutert.  Was trifft in diesem Zusammenhang am wenigsten zu?,0) Mit einer strukturellen Degeneration einer biologischen Prothese ist zu rechnen.,1) Eine biologische Herzklappenprothese erfordert keine langfristige Antikoagulation.,2) Eine Endokarditisprophylaxe muss bei beiden Klappentypen erfolgen.,3) Von sportlicher Aktivität nach mechanischem Herzklappenersatz wird abgeraten.,4) Mit einer mechanischen Herzklappenprothese wäre eine Schwangerschaft hoch problematisch.,3
"Ein 32-jähriger Student – ohne Vorerkrankungen – wird mit Kopfschmerzen, Übelkeit und febrilen Temperaturen bis 39 °C von seiner Freundin zum ärztlichen Notdienst gebracht. Bei der neurologischen Untersuchung ist der Patient somnolent, und es besteht ein Meningismus. An den Unterschenkelstreckseiten sind petechiale Blutungen zu sehen.",Welches ist jetzt am ehesten die richtige Reihenfolge des Vorgehens?,0) CCT – Lumbalpunktion – Abnahme von Blutkulturen – antibiotische Therapie und Dexamethason-Gabe,1) Abnahme von Blutkulturen – Lumbalpunktion – antibiotische Therapie und Dexamethason-Gabe – CCT,2) Abnahme von Blutkulturen – antibiotische Therapie und Dexamethason-Gabe – CCT – Lumbalpunktion,3) CCT – Abnahme von Blutkulturen – antibiotische Therapie und Dexamethason-Gabe – Lumbalpunktion,4) antibiotische Therapie und Dexamethason-Gabe – CCT – Lumbalpunktion – Abnahme von Blutkulturen,2
"Ein 32-jähriger Student – ohne Vorerkrankungen – wird mit Kopfschmerzen, Übelkeit und febrilen Temperaturen bis 39 °C von seiner Freundin zum ärztlichen Notdienst gebracht. Bei der neurologischen Untersuchung ist der Patient somnolent, und es besteht ein Meningismus. An den Unterschenkelstreckseiten sind petechiale Blutungen zu sehen.",Welche Mikroorganismen sind am ehesten für die Erkrankung des Studenten verantwortlich?,0) Meningokokken,1) Enterobakterien,2) Haemophilus-influenzae-Bakterien,3) Pneumokokken,4) Listerien,0
"Ein 32-jähriger Student – ohne Vorerkrankungen – wird mit Kopfschmerzen, Übelkeit und febrilen Temperaturen bis 39 °C von seiner Freundin zum ärztlichen Notdienst gebracht. Bei der neurologischen Untersuchung ist der Patient somnolent, und es besteht ein Meningismus. An den Unterschenkelstreckseiten sind petechiale Blutungen zu sehen.",Welche Antibiotika sind am ehesten sofort zu verabreichen?,0) Penicillin G + Vancomycin,1) Metronidazol und Penicillin G,2) Cephalosporin der 3. Generation + Aminopenicillin,3) Aminopenicillin + Vancomycin,4) Cephalosporin der 3. Generation + Metronidazol,2
"Im Rahmen eines Notarzteinsatzes werden Sie zu einem älteren Mann (87 Jahre) gerufen, der von seiner 69-jährigen Ehefrau im Badezimmer der gemeinsamen Wohnung liegend aufgefunden worden sei. Auf dem gefliesten Boden des Badezimmers gibt es eine etwa 1 m im Durchmesser große Blutlache, zudem einzelne Bluttropfen, keine Blutspritzer. Daneben sind blutige Fußspuren in der Blutlache und auf den Fliesen bis zur Badezimmertür zu sehen; sie könnten von der Größe her zu der Ehefrau passen. Sie treffen gemeinsam mit dem Rettungsdienst ein. Der Patient röchelt noch. Während Sie die etwa 10 cm lange Schnittwunde an der linken Halsseite inspizieren, bricht die Atmung ab. Weitere Verletzungen sehen Sie nicht. Sie fühlen keinen Puls mehr. Sie intubieren und führen eine Herzdruckmassage durch. Nach Defibrillation ist eine kurzzeitige elektrische Aktivität im EKG sichtbar, danach wieder eine Nulllinie. Es gelingt noch 2 weitere Male, mittels Defibrillation eine kurzzeitige elektrische Aktivität des Herzens zu provozieren. Danach bleiben weitere Defibrillationsversuche erfolglos. Sie brechen die Reanimationsversuche nach insgesamt 30 Minuten ab. In der Badewanne befindet sich ein großes Messer, das nach Angaben der Ehefrau aus dem Messerblock in der Küche stammt. Noch vor Abbruch der Reanimationsbemühungen ist zunächst die Schutzpolizei und danach die Kriminalpolizei eingetroffen, da die Polizei bereits von der Leitstelle informiert worden war.","Die Polizei fordert Sie auf, die Leichenschau durchzuführen und den Leichenschauschein auszufüllen.  Welche Aussage zur Todesfeststellung trifft am ehesten zu?","0) Erst wenn sich Totenstarre oder Totenflecke ausgebildet haben, kann der Tod festgestellt werden.","1) Da die vorgeschriebene Reanimationsdauer von 30 Minuten eingehalten wurde, muss nicht mehr auf sichere Todeszeichen gewartet werden.","2) Definitionsgemäß handelt es sich hier um eine Verletzung, die nicht mit dem Leben vereinbar war.","3) Erst wenn Leichenschau und Todesfeststellung abgeschlossen sind und der Leichenschauschein ausgefüllt ist, kann sich der Notarzt in die Einsatzbereitschaft zurückmelden.","4) Da die Aufforderung zur Leichenschau von der Polizei und somit einer staatlichen Ermittlungsbehörde kommt, ist dieser in jedem Fall Folge zu leisten.",0
"Im Rahmen eines Notarzteinsatzes werden Sie zu einem älteren Mann (87 Jahre) gerufen, der von seiner 69-jährigen Ehefrau im Badezimmer der gemeinsamen Wohnung liegend aufgefunden worden sei. Auf dem gefliesten Boden des Badezimmers gibt es eine etwa 1 m im Durchmesser große Blutlache, zudem einzelne Bluttropfen, keine Blutspritzer. Daneben sind blutige Fußspuren in der Blutlache und auf den Fliesen bis zur Badezimmertür zu sehen; sie könnten von der Größe her zu der Ehefrau passen. Sie treffen gemeinsam mit dem Rettungsdienst ein. Der Patient röchelt noch. Während Sie die etwa 10 cm lange Schnittwunde an der linken Halsseite inspizieren, bricht die Atmung ab. Weitere Verletzungen sehen Sie nicht. Sie fühlen keinen Puls mehr. Sie intubieren und führen eine Herzdruckmassage durch. Nach Defibrillation ist eine kurzzeitige elektrische Aktivität im EKG sichtbar, danach wieder eine Nulllinie. Es gelingt noch 2 weitere Male, mittels Defibrillation eine kurzzeitige elektrische Aktivität des Herzens zu provozieren. Danach bleiben weitere Defibrillationsversuche erfolglos. Sie brechen die Reanimationsversuche nach insgesamt 30 Minuten ab. In der Badewanne befindet sich ein großes Messer, das nach Angaben der Ehefrau aus dem Messerblock in der Küche stammt. Noch vor Abbruch der Reanimationsbemühungen ist zunächst die Schutzpolizei und danach die Kriminalpolizei eingetroffen, da die Polizei bereits von der Leitstelle informiert worden war.","Etwa 1 Stunde nach Abbruch der Reanimationsbemühungen haben sich bereits deutlich sichtbare Totenflecken ausgebildet, die bei dem in Rückenlage befindlichen Verstorbenen beidseits bis zur mittleren Axillarlinie reichen. Die Totenstarre ist in allen großen und kleinen Gelenken vorhanden, jedoch leicht zu überwinden (zu brechen).  Welche Angaben zu Todesursache und Todesart treffen am ehesten zu?","0) Verbluten, nicht natürlich","1) kardiale Dekompensation, ungeklärt","2) zentrales Regulationsversagen, ungeklärt","3) Luftembolie, nicht natürlich","4) Lungenembolie, natürlich",3
"Im Rahmen eines Notarzteinsatzes werden Sie zu einem älteren Mann (87 Jahre) gerufen, der von seiner 69-jährigen Ehefrau im Badezimmer der gemeinsamen Wohnung liegend aufgefunden worden sei. Auf dem gefliesten Boden des Badezimmers gibt es eine etwa 1 m im Durchmesser große Blutlache, zudem einzelne Bluttropfen, keine Blutspritzer. Daneben sind blutige Fußspuren in der Blutlache und auf den Fliesen bis zur Badezimmertür zu sehen; sie könnten von der Größe her zu der Ehefrau passen. Sie treffen gemeinsam mit dem Rettungsdienst ein. Der Patient röchelt noch. Während Sie die etwa 10 cm lange Schnittwunde an der linken Halsseite inspizieren, bricht die Atmung ab. Weitere Verletzungen sehen Sie nicht. Sie fühlen keinen Puls mehr. Sie intubieren und führen eine Herzdruckmassage durch. Nach Defibrillation ist eine kurzzeitige elektrische Aktivität im EKG sichtbar, danach wieder eine Nulllinie. Es gelingt noch 2 weitere Male, mittels Defibrillation eine kurzzeitige elektrische Aktivität des Herzens zu provozieren. Danach bleiben weitere Defibrillationsversuche erfolglos. Sie brechen die Reanimationsversuche nach insgesamt 30 Minuten ab. In der Badewanne befindet sich ein großes Messer, das nach Angaben der Ehefrau aus dem Messerblock in der Küche stammt. Noch vor Abbruch der Reanimationsbemühungen ist zunächst die Schutzpolizei und danach die Kriminalpolizei eingetroffen, da die Polizei bereits von der Leitstelle informiert worden war.","Die Kriminalbeamten erklären, dass aus ihrer Sicht alles für einen Suizid spricht. Zwar gibt es keinen Abschiedsbrief, aber laut Ehefrau hat der Mann in den letzten Wochen mehrfach davon gesprochen, sich das Leben nehmen zu wollen. Sie werden gebeten, auf dem vorgesehenen Feld des Leichenschauscheins „Suizid“ anzukreuzen.  Welche Fakten sprechen aus medizinischer Sicht am ehesten für einen Suizid bzw. für einen Homizid?",0) Der einfache Schnitt und das Fehlen sog. Probierschnitte belegen einen Homizid.,"1) Die Annahme eines Suizids wird dadurch gestützt, dass die Tatwaffe aus der eigenen Wohnung stammt.","2) Da Rechtshändigkeit deutlich häufiger als Linkshändigkeit ist, wäre die Verletzungslokalisation mit einem Suizid zu vereinbaren.",3) Die offensichtlich lange Überlebensdauer nach Verletzungsentstehung spricht gegen Selbstrettungsversuche und somit für einen Suizid.,"4) Gegen eine Täterschaft der Ehefrau und somit gegen Homizid spricht, dass sie selbst den Rettungsdienst alarmiert hat.",2
,Welche therapeutische Maßnahme ist bei der Patientin am ehesten indiziert?,0) neoadjuvante Misteltherapie gefolgt von einer Resektion,1) neoadjuvante Therapie mit GM-CSF gefolgt von einer Resektion,2) Resektion mit Wahl der Resektionsgrenze nach Empfehlung für maligne Melanome,3) Resektion mit Wahl der Resektionsgrenze nach Empfehlung für Vulvakarzinome,4) Afterloading zur Bestrahlung des Scheidenabschlusses nach der Resektion,2
"Sie sehen eine 73-jährige Patientin mit einer etwa 2 cm großen, dunkel verfärbten Raumforderung im Bereich der vorderen Kommissur der Vulva. Eine Punchbiopsie erbringt die histologische Diagnose eines Vulvamelanoms. Die Patientin ist mit einem BMI von 32 kg/m<sup>2</sup> adipös; sie hat einen arteriellen Hypertonus sowie einen Diabetes mellitus Typ 2, die jeweils medikamentös ausreichend eingestellt sind.","Es zeigt sich im endgültigen histologischen Befund ein ulzeriertes epitheloides malignes Melanom. Die Resektion erfolgt im Gesunden. Lymphknotenbefall oder Fernmetastasen werden nicht nachgewiesen, insgesamt wird der Tumor als Stadium IIC eingeordnet.  Welche Untersuchung ist in Bezug auf das typische Metastasierungsmuster des Malignoms am ehesten angezeigt?",0) Koloskopie,1) Biopsie des Knochenmarks,2) Liquorpunktion,3) MRT des Schädels,4) Laparoskopie der paraaortalen Lymphknoten,3
"Alina wird im Alter von 49 Tagen von ihrer Mutter in der Klinik vorgestellt. Sie ist blass und wirkt somnolent. Das Abdomen ist mäßig gut palpabel, die PJ-Studentin tastet eine Resistenz. Die PJ-Studentin hat auch die Anamnese erhoben: Am Vorabend habe Alina vermehrt geschrien, beim Windelwechseln sei der Mutter eine Blutauflagerung auf dem Stuhl aufgefallen. In der Nacht habe Alina mehrfach erbrochen. Der Bruder (3 Jahre) sei gesund. Alina wurde nach unkompliziertem Schwangerschaftsverlauf 2 Wochen vor dem errechneten Termin spontan geboren: 3780 g, Apgar: 8-9-10. Ikterus mit Notwendigkeit einer Phototherapie im Alter von 5 Tagen. Alina trinke gut an der Brust und gedeihe gut.",Welche der genannten Diagnosen ist nach dem Bericht der PJ-Studentin am wahrscheinlichsten?,0) Hiatusgleithernie,1) Ösophagusatresie,2) zystische Fibrose,3) Invagination des Darmes,4) nekrotisierende Enterokolitis,3
"Alina wird im Alter von 49 Tagen von ihrer Mutter in der Klinik vorgestellt. Sie ist blass und wirkt somnolent. Das Abdomen ist mäßig gut palpabel, die PJ-Studentin tastet eine Resistenz. Die PJ-Studentin hat auch die Anamnese erhoben: Am Vorabend habe Alina vermehrt geschrien, beim Windelwechseln sei der Mutter eine Blutauflagerung auf dem Stuhl aufgefallen. In der Nacht habe Alina mehrfach erbrochen. Der Bruder (3 Jahre) sei gesund. Alina wurde nach unkompliziertem Schwangerschaftsverlauf 2 Wochen vor dem errechneten Termin spontan geboren: 3780 g, Apgar: 8-9-10. Ikterus mit Notwendigkeit einer Phototherapie im Alter von 5 Tagen. Alina trinke gut an der Brust und gedeihe gut.",Angesichts der Befundkonstellation wird das U-Heft auf die Vollständigkeit der Früherkennungsuntersuchungen überprüft.  Welche der empfohlenen Maßnahmen ist im vorliegenden Fall wahrscheinlich nicht durchgeführt worden?,0) Früherkennung von Hörstörungen bei Neugeborenen,1) Kariesprophylaxe mittels Fluorid,2) Vitamin-K-Prophylaxe,3) Screening auf Mukoviszidose,4) Rachitisprophylaxe mittels Vitamin D,2
"6 Stunden nach Beginn der Schlaganfallsymptomatik trifft der 73-jährige Patient in der Notaufnahme ein. Es liegen eine globale Aphasie und eine hochgradige Halbseitenlähmung rechts vor. Die kranielle Computertomografie ist unauffällig, in der CTA zeigt sich ein Mediahauptstamm-Verschluss links.",Welches notfallmäßige Vorgehen ist bei dem Patienten in erster Linie angezeigt?,0) sofortige intraarterielle Lysetherapie und Thrombektomie,1) sofortige intravenöse Lysetherapie,2) sofortige Thrombektomie,3) sofortige intraarterielle Lysetherapie,4) sofortige intravenöse Lysetherapie und Thrombektomie,2
"Der 5-jährige Maximilian wird von seinen Eltern in einer kinder- und jugendärztlichen Praxis vorgestellt. Diese berichten, dass ihr Sohn in letzter Zeit „so kraftlos“ wirke. Er könne nicht mehr so schnell laufen wie seine Altersgenossen und habe manchmal Mühe aufzustehen; er stütze sich dabei mit den Händen an den Oberschenkeln ab. Auch beim Treppensteigen tue er sich schwer. Dabei habe sich der Junge nach der Geburt gut entwickelt, die beschriebenen Auffälligkeiten seien erst seit etwa 1⁄2 Jahr zu beobachten. Die Eltern haben bereits 2 gesunde Mädchen im Alter von 11 und 8 Jahren, die ebenfalls in der kinderärztlichen Praxis betreut werden. Auch die erweiterte Familienanamnese ergibt keine Besonderheiten, insbesondere keinen Anhalt für kongenitale Erkrankungen.","Maximilians Eltern berichten, dass ihr Sohn das Aufstehen mit den Armen unterstützt.  Welches der folgenden klinischen Zeichen beschreibt dieses Verhalten am ehesten?",0) Lasègue-Zeichen,1) Kernig-Zeichen,2) Gowers-Zeichen,3) Brudzinski-Zeichen,4) Bragard-Zeichen,2
"Der 5-jährige Maximilian wird von seinen Eltern in einer kinder- und jugendärztlichen Praxis vorgestellt. Diese berichten, dass ihr Sohn in letzter Zeit „so kraftlos“ wirke. Er könne nicht mehr so schnell laufen wie seine Altersgenossen und habe manchmal Mühe aufzustehen; er stütze sich dabei mit den Händen an den Oberschenkeln ab. Auch beim Treppensteigen tue er sich schwer. Dabei habe sich der Junge nach der Geburt gut entwickelt, die beschriebenen Auffälligkeiten seien erst seit etwa 1⁄2 Jahr zu beobachten. Die Eltern haben bereits 2 gesunde Mädchen im Alter von 11 und 8 Jahren, die ebenfalls in der kinderärztlichen Praxis betreut werden. Auch die erweiterte Familienanamnese ergibt keine Besonderheiten, insbesondere keinen Anhalt für kongenitale Erkrankungen.",Welcher Vererbungsmodus liegt der hier vorgestellten Muskelerkrankung am ehesten zugrunde?,0) autosomal-rezessiv,1) autosomal-dominant,2) X-chromosomal-dominant,3) X-chromosomal-rezessiv,4) Y-chromosomal,3
"Der 5-jährige Maximilian wird von seinen Eltern in einer kinder- und jugendärztlichen Praxis vorgestellt. Diese berichten, dass ihr Sohn in letzter Zeit „so kraftlos“ wirke. Er könne nicht mehr so schnell laufen wie seine Altersgenossen und habe manchmal Mühe aufzustehen; er stütze sich dabei mit den Händen an den Oberschenkeln ab. Auch beim Treppensteigen tue er sich schwer. Dabei habe sich der Junge nach der Geburt gut entwickelt, die beschriebenen Auffälligkeiten seien erst seit etwa 1⁄2 Jahr zu beobachten. Die Eltern haben bereits 2 gesunde Mädchen im Alter von 11 und 8 Jahren, die ebenfalls in der kinderärztlichen Praxis betreut werden. Auch die erweiterte Familienanamnese ergibt keine Besonderheiten, insbesondere keinen Anhalt für kongenitale Erkrankungen.",Welche der folgenden Laboruntersuchungen ist zur Erhärtung der Verdachtsdiagnose einer Muskelerkrankung bei Maximilian am ehesten indiziert?  Im Serum Bestimmung der,0) Harnsäurekonzentration,1) Kreatininkonzentration,2) Troponinkonzentration,3) Konzentration des C-reaktiven Proteins,4) Kreatinkinaseaktivität,4
"Der 5-jährige Maximilian wird von seinen Eltern in einer kinder- und jugendärztlichen Praxis vorgestellt. Diese berichten, dass ihr Sohn in letzter Zeit „so kraftlos“ wirke. Er könne nicht mehr so schnell laufen wie seine Altersgenossen und habe manchmal Mühe aufzustehen; er stütze sich dabei mit den Händen an den Oberschenkeln ab. Auch beim Treppensteigen tue er sich schwer. Dabei habe sich der Junge nach der Geburt gut entwickelt, die beschriebenen Auffälligkeiten seien erst seit etwa 1⁄2 Jahr zu beobachten. Die Eltern haben bereits 2 gesunde Mädchen im Alter von 11 und 8 Jahren, die ebenfalls in der kinderärztlichen Praxis betreut werden. Auch die erweiterte Familienanamnese ergibt keine Besonderheiten, insbesondere keinen Anhalt für kongenitale Erkrankungen.",Welche der genannten Komplikationen tritt/treten im Verlauf bei der hier wahrscheinlich vorliegenden progressiven Muskelerkrankung nicht regelhaft auf?,0) myokardiale Funktionseinschränkung,1) Skoliose,2) mentale Entwicklungsstörung,3) Osteoporose,4) rezidivierende Pneumonien,2
"Sie betreuen in Ihrer Praxis eine 25-jährige Patientin, Frau M., mit atopischem Ekzem. Die Patientin klagt über den starken Juckreiz und ist unzufrieden mit der Therapie. Kürzlich hat sie im Internet gelesen, dass Basistherapien mit einer wirkstofffreien, rückfettenden Salbe bei ihren Beschwerden sehr gut wirken sollen. Sie müssen ihr nun erläutern, weshalb diese bei Erwachsenen in der Regel nicht auf Kosten der gesetzlichen Krankenversicherung verschrieben werden können und dass im Gemeinsamen Bundesausschuss (G-BA) festgelegt wird, welche medizinischen Maßnahmen in den Leistungskatalog der gesetzlichen Krankenversicherung aufgenommen werden.","Welche Institution hat die Rechtsaufsicht über den Gemeinsamen Bundesausschuss (G-BA), welcher die Richtlinien erlässt, auf deren Basis festgelegt wird, welche Leistungen der medizinischen Versorgung von der gesetzlichen Krankenversicherung (GKV) im Einzelnen übernommen werden?",0) Bundesärztekammer,1) Bundesamt für Soziale Sicherung,2) Bundesgesundheitsministerium,3) Bundesinstitut für Arzneimittel und Medizinprodukte,4) Bundesrat,2
"Sie betreuen in Ihrer Praxis eine 25-jährige Patientin, Frau M., mit atopischem Ekzem. Die Patientin klagt über den starken Juckreiz und ist unzufrieden mit der Therapie. Kürzlich hat sie im Internet gelesen, dass Basistherapien mit einer wirkstofffreien, rückfettenden Salbe bei ihren Beschwerden sehr gut wirken sollen. Sie müssen ihr nun erläutern, weshalb diese bei Erwachsenen in der Regel nicht auf Kosten der gesetzlichen Krankenversicherung verschrieben werden können und dass im Gemeinsamen Bundesausschuss (G-BA) festgelegt wird, welche medizinischen Maßnahmen in den Leistungskatalog der gesetzlichen Krankenversicherung aufgenommen werden.","Frau M. ist als Bäckereifachverkäuferin tätig und leidet auch an den Händen an Rötungen und Juckreiz, welche durch das bereits seit ihrer Kindheit bestehende atopische Ekzem ausgelöst werden. Sie berichtet, dass ihr Ekzem durch die berufliche Tätigkeit verschlimmert wird und während arbeitsfreier Zeiten zurückgeht. Sie ist durch die Beschwerden in ihrer beruflichen Tätigkeit beeinträchtigt und fragt, ob eine diesbezügliche Rehabilitationsmaßnahme möglich wäre.  Sie besprechen mit Frau M., dass ihre Erwerbsfähigkeit erheblich gefährdet ist und die Verschlechterung ihrer bereits bestehenden Hauterkrankung durch die berufliche Tätigkeit eine Tätigkeitsaufgabe zur Folge haben könnte. Daher vereinbaren Sie mit ihr, ein Hautarztverfahren in die Wege zu leiten.  Welcher Kostenträger kommt in Frau M.s Fall für die Finanzierung dieses Verfahrens am ehesten auf?",0) die gesetzliche Krankenversicherung,1) die gesetzliche Pflegeversicherung,2) die gesetzliche Rentenversicherung,3) die gesetzliche Unfallversicherung,4) eine private Berufsunfähigkeitsversicherung,3
,Eine 50-jährige Patientin wird Ihnen wegen einer progredienten Parese und Atrophie des rechten M. sternocleidomastoideus vorgestellt.  Ihre klinische Untersuchung lässt eine Hirnnervenläsion rechts vermuten.  Welcher der folgenden weiteren klinischen Befunde würde am ehesten das Foramen jugulare als Schädigungsort favorisieren (Foramen-jugulare-Syndrom)?,0) Kulissenphänomen mit Abweichen der Uvula nach links,1) N.-hypoglossus-Parese rechts,2) ipsilaterale Hypakusis und N.-facialis-Parese,3) unilaterale Hyposmie,4) Abweichen des Unterkiefers nach rechts bei der Mundöffnung,0
,"Ein molekulargenetisches Labor erwägt die Einführung eines neuen Gentests für eine sehr seltene multifaktorielle Gefäßwandveränderung.  Um die klinische Relevanz zu beurteilen, soll zunächst der positive prädiktive Wert ermittelt werden.  Welche der folgenden Variablen geht am ehesten in die Berechnung des positiven prädiktiven Wertes ein?",0) Prävalenz der Erkrankung,1) Odds-Ratio,2) Therapierbarkeit der Erkrankung,3) Morbidität,4) Mortalität der Erkrankung,0
,"Eine Mutter kommt in Ihre Praxis und bittet um eine Impfberatung. Soll ihre 2 Monate alte Tochter, deren Entwicklung bisher unauffällig verlaufen ist, eine Pneumokokkenimpfung erhalten?  Welcher Rat ist auf der Basis der Empfehlungen der Ständigen Impfkommission (STIKO) am ehesten angezeigt?","0) keine Impfung, da derzeit kein wirksamer Impfstoff für Kinder unter 2 Jahren verfügbar ist","1) keine Impfung, da die Pneumokokkenimpfung bei gesunden Säuglingen ohne Immundefekt nicht empfohlen wird",2) Impfung mit einem Pneumokokken-Polysaccharidimpfstoff,3) Impfung mit einem Pneumokokken-Konjugatimpfstoff,4) Impfung wegen des erhöhten Expositionsrisikos erst kurz vor der Einschulung,3
,"Bei einem 65-jährigen Patienten besteht eine frischere, sehr schmerzhafte, aber stabile osteoporotische Wirbelkörper-Kompressionsfraktur in der mittleren BWS.  Welche der folgenden Methoden kommt zur Behandlung dieser Fraktur am ehesten in Betracht?",0) Extension mithilfe eines Halofixateurs,1) Kyphoplastie,2) redressierende Behandlung mit einem Cheneau-Korsett,3) Röntgenbestrahlung der Wirbelsäule bis zu einer Gesamtdosis von 50 Gy,4) Ruhigstellung mit einem Desault-Verband,1
